region,contituancy ,member,party
Balochistan,NA-266 Killa Abdullah-cum-Chaman,Mehmood Khan Achakzai,PKMAP
Balochistan,NA-265 Pishin,Fazal-ur-Rehman,JUI(F)
Balochistan,NA-264 Quetta-IIi,Jamal Raisani,PPP
Balochistan,NA-263 Quetta-II,Jamal Shah Kakar,PML(N)
Balochistan,NA-262 Quetta-I,Adil Khan Bazai,Independent
Balochistan,NA-261 Surab-cum-Kalat-cum-Mastung,Akhtar Mengal,BNP-M
Balochistan,NA-260 Chagai-cum-Nushki-cum-Kharan-cum-Washuk,Usman Badini,JUI(F)
Balochistan,NA-259 Kech-cum-Gwadar,Malik Shah Gorgaij,PPP
Balochistan,NA-258 Panjgur-cum-Kech,Waja Pullain Baloch,National Party
Balochistan,NA-257 Hub-cum-Lasbela-cum-Awaran,Jam Kamal Khan,PML(N)
Balochistan,NA-256 Khuzdar,Akhtar Mengal,BNP-M
Balochistan,NA-255 Sohbat Pur-cum-Jaffarabad-cum-Usta Muhammad-cum-Nasirabad,Mir Khan Muhammad Jamali,PML(N)
Balochistan,NA-254 Nasirabad-cum-Kachhi-cum-Jhal Magsi,Khalid Hussain Magsi,BNP-M
Balochistan,NA-253 Ziarat-cum-Harnai-cum-Sibbi-cum-Kohlu-cum-Dera Bugti,Mian Khan Mondrani,Independent
Balochistan,NA-252 Musakhel-cum-Barkhan-cum-Loralai-cum-Duki,Sardar Yaqoob Nasir,PML(N)
Balochistan,NA-251 Sherani-cum-Zhob-cum-Killa Saifullah,Khushal Khan Kakar,PKNAP
ICT,NA-48 Islamabad-III,Khurram Shehzad Nawaz,Independent
ICT,NA-47 Islamabad-II,Tariq Fazal Chaudhry,PML(N)
ICT,NA-46 Islamabad-I,Anjum Aqeel Khan,PML(N)
kpk,NA-9 Malakand,Junaid Akbar,Independent
kpk,NA-8 Bajaur,Vacant,nan
kpk,NA-7 Lower Dir-II,Mehboob Shah,Independent
kpk,NA-6 Lower Dir-I,Muhammad Bashir Khan,Independent
kpk,NA-5 Upper Dir,Sahibzada Sibghatullah,Independent
kpk,NA-45 D I Khan-II,Fatehullah Khan Miankhel,PPP
kpk,NA-44 D I Khan-I,Ali Amin Gandapur,Independent
kpk,NA-43 Tank,Dawar Khan Kundi,Independent
kpk,NA-42 South Waziristan,Zubair Khan Wazir,Independent
kpk,NA-41 Lakki Marwat,Sher Afzal Marwat,Independent
kpk,NA-40 North Waziristan,Misbahuddin,JUI(F)
kpk,NA-4 Swat-III,Sohail Sultan,Independent
kpk,NA-39 Bannu,Naseem Ali Shah,Independent
kpk,NA-38 Karak,Shahid Ahmed Khattak,Independent
kpk,NA-37 Kurram-II,Hameed Hussain,Majlis Wahdat-e-Muslimeen
kpk,NA-36 Hangu,Yousuf Khan,Independent
kpk,NA-35 Kohat,Shehryar Afridi,Independent
